simulation_id,round,mechanism_type,crop_id,crop_name,allocation_pct,actual_yield,total_allocation
PDD_sim1,1,PDD,0,Wheat,0.135,8.4,137
PDD_sim1,1,PDD,1,Corn,0.267,5.56,273
PDD_sim1,1,PDD,2,Rice,0.056,3.82,57
PDD_sim1,1,PDD,3,Potatoes,0.374,4.08,382
PDD_sim1,1,PDD,4,Soybeans,0.169,6.71,172
PDD_sim1,2,PDD,0,Wheat,0.521,7.81,588
PDD_sim1,2,PDD,1,Corn,0.116,8.04,131
PDD_sim1,2,PDD,2,Rice,0.07,5.53,79
PDD_sim1,2,PDD,3,Potatoes,0.069,6.32,78
PDD_sim1,2,PDD,4,Soybeans,0.224,4.86,252
PDD_sim1,3,PDD,0,Wheat,0.067,7.1,76
PDD_sim1,3,PDD,1,Corn,0.412,9.02,471
PDD_sim1,3,PDD,2,Rice,0.173,2.48,198
PDD_sim1,3,PDD,3,Potatoes,0.089,8.95,102
PDD_sim1,3,PDD,4,Soybeans,0.259,5.83,295
PDD_sim1,4,PDD,0,Wheat,0.211,9.2,242
PDD_sim1,4,PDD,1,Corn,0.272,8.11,312
PDD_sim1,4,PDD,2,Rice,0.203,3.72,233
PDD_sim1,4,PDD,3,Potatoes,0.095,5.43,109
PDD_sim1,4,PDD,4,Soybeans,0.218,4.39,250
PDD_sim1,5,PDD,0,Wheat,0.182,8.58,200
PDD_sim1,5,PDD,1,Corn,0.371,6.81,410
PDD_sim1,5,PDD,2,Rice,0.032,4.52,35
PDD_sim1,5,PDD,3,Potatoes,0.131,5.47,144
PDD_sim1,5,PDD,4,Soybeans,0.284,6.44,314
PDD_sim1,6,PDD,0,Wheat,0.063,6.78,72
PDD_sim1,6,PDD,1,Corn,0.272,5.66,311
PDD_sim1,6,PDD,2,Rice,0.384,5.44,439
PDD_sim1,6,PDD,3,Potatoes,0.037,6.58,42
PDD_sim1,6,PDD,4,Soybeans,0.243,3.86,278
PDD_sim1,7,PDD,0,Wheat,0.286,7.7,346
PDD_sim1,7,PDD,1,Corn,0.05,6.33,60
PDD_sim1,7,PDD,2,Rice,0.409,7.33,495
PDD_sim1,7,PDD,3,Potatoes,0.159,4.49,192
PDD_sim1,7,PDD,4,Soybeans,0.095,3.67,115
PDD_sim1,8,PDD,0,Wheat,0.189,8.14,215
PDD_sim1,8,PDD,1,Corn,0.2,6.72,228
PDD_sim1,8,PDD,2,Rice,0.14,7.39,160
PDD_sim1,8,PDD,3,Potatoes,0.161,7.04,183
PDD_sim1,8,PDD,4,Soybeans,0.309,6.84,352
