simulation_id,round,delegator_id,delegate_id,delegator_expertise,delegate_expertise,delegator_is_adversarial
PLD_sim1,1,0,1,0.519,0.901,0
PLD_sim1,1,0,5,0.519,0.792,0
PLD_sim1,1,2,5,0.75,0.792,0
PLD_sim1,1,0,9,0.519,0.929,0
PLD_sim1,1,1,9,0.901,0.929,0
PLD_sim1,3,3,1,0.387,0.781,1
PLD_sim1,3,1,2,0.781,0.833,0
PLD_sim1,3,1,6,0.781,0.819,0
PLD_sim1,4,1,2,0.448,0.894,0
PLD_sim1,4,3,2,0.509,0.894,1
PLD_sim1,4,0,5,0.919,0.934,0
PLD_sim1,5,0,2,0.664,0.766,0
PLD_sim1,5,1,2,0.652,0.766,0
PLD_sim1,5,0,8,0.664,0.914,0
PLD_sim1,5,1,8,0.652,0.914,0
PLD_sim1,5,2,8,0.766,0.914,0
PLD_sim1,6,1,0,0.734,0.907,0
PLD_sim1,6,2,0,0.769,0.907,0
PLD_sim1,6,3,0,0.501,0.907,1
PLD_sim1,6,3,1,0.501,0.734,1
PLD_sim1,6,1,2,0.734,0.769,0
PLD_sim1,6,3,4,0.501,0.734,1
PLD_sim1,6,1,5,0.734,0.906,0
PLD_sim1,6,0,6,0.907,0.909,0
PLD_sim1,6,1,8,0.734,0.827,0
PLD_sim1,6,2,8,0.769,0.827,0
PLD_sim1,6,3,8,0.501,0.827,1
PLD_sim1,6,1,9,0.734,0.747,0
PLD_sim1,6,3,9,0.501,0.747,1
PLD_sim1,7,0,4,0.462,0.789,0
PLD_sim1,7,0,5,0.462,0.762,0
PLD_sim1,7,1,5,0.667,0.762,0
PLD_sim1,7,0,6,0.462,0.955,0
PLD_sim1,8,0,1,0.407,0.741,0
PLD_sim1,8,3,1,0.547,0.741,1
PLD_sim1,8,0,2,0.407,0.817,0
PLD_sim1,8,1,2,0.741,0.817,0
PLD_sim1,8,3,2,0.547,0.817,1
PLD_sim1,8,0,6,0.407,0.915,0
PLD_sim1,8,0,9,0.407,0.746,0
PLD_sim1,9,1,0,0.685,0.901,0
PLD_sim1,9,2,0,0.792,0.901,0
PLD_sim1,9,1,2,0.685,0.792,0
PLD_sim1,9,3,2,0.53,0.792,1
PLD_sim1,9,4,2,0.528,0.792,0
PLD_sim1,9,1,5,0.685,0.79,0
PLD_sim1,9,3,5,0.53,0.79,1
PLD_sim1,9,4,5,0.528,0.79,0
PLD_sim1,9,0,8,0.901,0.991,0
PLD_sim1,9,1,8,0.685,0.991,0
PLD_sim1,10,1,0,0.573,0.703,0
PLD_sim1,10,2,0,0.431,0.703,0
PLD_sim1,10,3,0,0.451,0.703,1
PLD_sim1,10,4,0,0.643,0.703,0
PLD_sim1,10,0,6,0.703,0.877,0
PLD_sim1,10,1,6,0.573,0.877,0
PLD_sim1,10,2,6,0.431,0.877,0
PLD_sim1,10,0,9,0.703,0.945,0
PLD_sim1,10,1,9,0.573,0.945,0
PLD_sim1,11,1,0,0.637,0.862,0
PLD_sim1,11,2,0,0.751,0.862,0
PLD_sim1,11,3,0,0.126,0.862,1
PLD_sim1,11,4,0,0.677,0.862,0
PLD_sim1,11,1,2,0.637,0.751,0
PLD_sim1,11,3,2,0.126,0.751,1
PLD_sim1,11,4,2,0.677,0.751,0
PLD_sim1,11,5,2,0.617,0.751,0
PLD_sim1,11,1,6,0.637,0.77,0
PLD_sim1,11,2,6,0.751,0.77,0
PLD_sim1,11,1,9,0.637,0.773,0
PLD_sim1,11,2,9,0.751,0.773,0
PLD_sim1,12,0,1,0.503,0.844,0
PLD_sim1,12,2,1,0.648,0.844,0
PLD_sim1,12,0,4,0.503,0.961,0
PLD_sim1,12,1,4,0.844,0.961,0
PLD_sim1,12,0,6,0.503,0.834,0
PLD_sim1,12,2,6,0.648,0.834,0
PLD_sim1,12,0,8,0.503,0.767,0
PLD_sim1,12,2,8,0.648,0.767,0
PLD_sim1,12,3,8,0.119,0.767,1
PLD_sim1,12,0,9,0.503,0.806,0
PLD_sim1,12,2,9,0.648,0.806,0
PLD_sim1,12,3,9,0.119,0.806,1
PLD_sim1,13,0,2,0.655,0.771,0
PLD_sim1,13,1,2,0.535,0.771,0
PLD_sim1,13,0,4,0.655,0.786,0
PLD_sim1,13,1,4,0.535,0.786,0
PLD_sim1,13,2,4,0.771,0.786,0
PLD_sim1,13,3,4,0.189,0.786,1
PLD_sim1,13,0,8,0.655,0.815,0
PLD_sim1,13,1,8,0.535,0.815,0
PLD_sim1,13,2,8,0.771,0.815,0
PLD_sim1,13,0,9,0.655,0.786,0
PLD_sim1,13,1,9,0.535,0.786,0
PLD_sim1,13,2,9,0.771,0.786,0
PLD_sim1,13,3,9,0.189,0.786,1
PLD_sim1,14,1,0,0.773,0.862,0
PLD_sim1,14,2,0,0.81,0.862,0
PLD_sim1,14,3,0,0.269,0.862,1
PLD_sim1,14,4,0,0.695,0.862,0
PLD_sim1,14,3,1,0.269,0.773,1
PLD_sim1,14,4,1,0.695,0.773,0
PLD_sim1,14,5,1,0.755,0.773,0
PLD_sim1,14,7,1,0.266,0.773,1
PLD_sim1,14,1,2,0.773,0.81,0
PLD_sim1,14,3,2,0.269,0.81,1
PLD_sim1,14,3,5,0.269,0.755,1
PLD_sim1,14,4,5,0.695,0.755,0
PLD_sim1,14,7,5,0.266,0.755,1
PLD_sim1,14,0,6,0.862,0.889,0
PLD_sim1,14,1,6,0.773,0.889,0
PLD_sim1,14,2,6,0.81,0.889,0
PLD_sim1,14,0,8,0.862,0.895,0
PLD_sim1,14,1,8,0.773,0.895,0
PLD_sim1,14,0,9,0.862,0.925,0
PLD_sim1,14,1,9,0.773,0.925,0
PLD_sim1,15,0,1,0.648,0.854,0
PLD_sim1,15,2,1,0.652,0.854,0
PLD_sim1,15,3,1,0.334,0.854,1
PLD_sim1,15,5,1,0.779,0.854,0
PLD_sim1,15,6,1,0.657,0.854,0
PLD_sim1,15,0,4,0.648,0.879,0
